# No    Ref    V       B-V     U-B     N
 0083   518   8.400   0.060  -0.200    3
 0084   440  10.630   0.360   0.180    1
 0084   518  10.700   0.350   0.170    3
 0085    92  12.050   0.610   0.055    1
 0085   440  12.000   0.590   0.060    2
 0085   518  12.070   0.620   0.060    3
 0087    92  12.740   0.615   0.045    2
 0088    92  11.980   0.560   0.030    1
 0088   440  11.890   0.520   0.040    1
 0090   440  11.530   0.800   0.120    2
 0091    92   8.390  -0.040  -0.365    2
 0091   372   8.380  -0.020  -0.370    1
 0091   440   8.350  -0.020  -0.350    3
 0091   518   8.390  -0.010  -0.360   14
 0093    92  11.140   0.415   0.100    1
 0093   440  11.090   0.330   0.170    2
 0093  1852  11.180   0.380   0.130    3
 0094    92   9.620   0.090   0.045    2
 0094   372   9.600   0.100   0.050    1
 0094   440   9.580   0.110   0.060   10
 0094   518   9.600   0.110   0.050    5
 0095    92  11.760   0.500   0.060    2
 0095   440  11.740   0.490   0.160    4
 0096    92  11.260   0.490   0.170    1
 0096   440  11.150   0.400   0.070    2
 0096  1852  11.260   0.380   0.110    2
 0097    92  10.860   0.325   0.205    2
 0097   440  10.870   0.320   0.270    3
 0097  1852  10.900   0.300   0.220    2
 0098   440  10.220   0.190   0.180    1
 0100   440  12.040   0.540  -0.030    2
 0101    92  10.200   0.160   0.205    1
 0101   440  10.160   0.220   0.140    1
 0102   440  11.410   0.140  -0.160    2
 0103   440  12.320   0.700  -0.080    1
 0104   518  11.280   0.490   0.120    2
 0104  1382  11.000   0.540   0.060    3
 0106  1601  11.220   0.390   0.060    2
 0107   440  11.340   0.510   0.050    4
 0107  1601  11.310   0.540   0.090    2
 0108   440  11.150   0.400   0.100    1
 0109   440  10.810   0.290   0.130    1
 0110    92   5.160   1.750   1.830    3
 0110   372   5.180   1.780   1.950    3
 0110   440   5.180   1.770   1.880    4
 0110   515   5.209   1.785   1.871    2
 0110   518   5.190   1.760   1.980   17
 0110  1383   5.160   1.720     -      4
 0110  1601   5.210   1.760   2.000    3
 0110  1852   5.060   1.740   1.680    2
 0111    92  11.410   0.555     -      2
 0111   440  11.400   0.530   0.080    1
 0112   518   9.850   0.270   0.200    5
 0112  1382   9.820   0.270   0.190    3
 0113   372   8.380   0.130   0.140    1
 0113   518   8.380   0.170   0.160    3
 0114   372   9.450   0.100   0.040    1
 0114   518   9.440   0.110   0.040    3
 0115   372   9.050   0.060  -0.120    1
 0115   518   9.070   0.060  -0.100    3
 0116   372   8.220   0.010  -0.210    1
 0116   518   8.190   0.030  -0.210    3
 0117   372   9.610   0.090   0.040    1
 0117   518   9.620   0.100   0.050    3
 0118    92   8.870     -    -0.130    2
 0118   372   8.870   0.010  -0.120    1
 0118   518   8.880   0.020  -0.120    3
 0119    92   5.760   1.560   1.760    3
 0119   372   5.770   1.560   1.750    2
 0119   440   5.690   1.550   1.830    2
 0119   515   5.766   1.562   1.782    2
 0119   518   5.750   1.560   1.800    8
 0119  1601   5.750   1.540   1.810    3
 0120   372   6.770     -    -0.270    1
 0120   440   6.770   0.010  -0.230    1
 0120   518   6.750   0.010  -0.260    3
 0121   372  10.110   0.310   0.140    1
 0121   518  10.110   0.320   0.150    5
 0121   518  10.610   0.280   0.130    5
 0121   518  11.240   0.420   0.180    5
 0123   372   9.710   0.220   0.210    1
 0123   518   9.700   0.240   0.240    3
 0124   372   5.610   0.560  -0.010    2
 0124   518   5.610   0.570  -0.010    4
 0124   692   5.590   0.580   0.030    - 
 0124  1382   5.580   0.580   0.030    3
 0124  1383   5.580   0.570     -      4
 0125   372   9.860   1.330   1.080    1
 0125   518   9.870   1.380   1.080    3
 0125  1382   9.830   1.350   1.090    1
 0126    92   6.860   0.010  -0.330    2
 0126   372   6.900  -0.020  -0.320    1
 0126   440   6.860     -    -0.330    4
 0126   518   6.870  -0.010  -0.300   14
 0126  1383   6.860     -       -      4
 0126  1852   6.870   0.030  -0.370    2
 0127    92   8.950   0.050  -0.220    2
 0127   372   8.950   0.060  -0.230    1
 0127   440   8.920   0.070  -0.240    5
 0127   518   8.950   0.080  -0.250   19
 0127  1852   8.960   0.070  -0.270    3
 0128    92   6.720   1.285   1.175    2
 0128   188   6.730   1.280   1.170    2
 0128   372   6.710   1.280   1.170    3
 0128   440   6.690   1.280   1.200    4
 0128   515   6.735   1.283   1.215    2
 0128   518   6.710   1.280   1.190    9
 0128  1383   6.680   1.270     -      4
 0128  1601   6.680   1.270   1.210    4
 0128  1852   6.690   1.280   1.190    3
 0129    92   7.200   0.050  -0.105    3
 0129   372   7.260   0.040  -0.100    1
 0129   440   7.210   0.060  -0.080   27
 0129   518   7.230   0.050  -0.090   77
 0129  1383   7.220   0.050     -      4
 0129  1852   7.250   0.080  -0.200    3
 0130    92   6.750  -0.030  -0.310    2
 0130   372   6.770  -0.020  -0.320    1
 0130   440   6.820     -    -0.260    1
 0130   518   6.770  -0.020  -0.320    4
 0130   518   7.180   0.010  -0.330    4
 0131   372   9.690   0.410     -      1
 0131   518   9.720   0.430  -0.020    3
 0132    92   8.590   0.035  -0.180    2
 0132   372   8.570   0.040  -0.170    1
 0132   440   8.550   0.070  -0.160    5
 0132   518   8.570   0.050  -0.160    4
 0132  1852   8.610   0.060  -0.180    3
 0133    92   9.520   0.055   0.050    2
 0133   372   8.770   0.080   0.030    1
 0133   440   8.780   0.100   0.100    1
 0133   518   8.770   0.080   0.030    4
 0133   518   9.560   0.160   0.030    4
 0134    92   5.790  -0.100  -0.790    2
 0134   300   5.820  -0.080  -0.760   11
 0134   372   5.760  -0.090  -0.800    7
 0134   440   5.820  -0.080  -0.810    8
 0134   518   5.800  -0.090  -0.760   24
 0134  1383   5.800  -0.100     -      4
 0134  1506   5.840  -0.080  -0.770    3
 0134  1852   5.770  -0.030  -0.740    3
 0135   372   9.550   0.070   0.020    1
 0135   518   9.550   0.070   0.010    6
 0136    92   6.300  -0.055  -0.390    2
 0136   372   6.320  -0.050  -0.410    2
 0136   440   6.330  -0.050  -0.400    1
 0136   518   6.320  -0.050  -0.400    6
 0136   635   6.320  -0.060     -      4
 0136  1384   6.320  -0.060     -      - 
 0137    92  14.550   0.760   0.140    1
 0138    92  16.270   0.830     -      1
 0139    92  15.670   0.670   0.160    1
 0140    92  13.010   0.615   0.040    1
 0141    92  14.860   0.860   0.520    1
 0142    92  13.650   0.730   0.210    1
 0143    92  14.000   1.190   1.000    1
 0144    92  14.340   0.940   0.380    1
 0145    92  13.770   0.820   0.280    1
 0146    92  15.180   1.180   0.360    1
 0147    92  13.990   0.930   0.605    1
 0148    92  14.210   0.945   0.420    2
 0149    92  14.300   0.715   0.120    1
 0150    92  14.020   0.870   0.405    1
 0151    92  16.290   0.800   0.255    1
 0152    92  14.380   0.925   0.480    1
 0154    92  14.550   0.475   0.300    1
 0155    92  14.550   0.920   0.460    3
 0156    92  12.740   1.150   0.970    2
 0157    92  14.070   1.050   0.650    1
 0158    92  14.480   0.680   0.060    2
 0159    92  14.350   0.715   0.175    2
 0160    92  13.460   0.790   0.180    1
 0161    92  14.060   1.060   0.810    1
 0162    92  11.660   1.500   1.680    2
 0163    92  13.440   0.630   0.030    1
 0164    92  13.990   0.755   0.150    1
 0164   518  13.980   0.740   0.210    3
 0165    92  13.990   1.475     -      1
 0165   518  13.920   1.460   1.310    3
 0166    92  15.050   0.430   0.070    1
 0167    92  14.570   0.940   0.550    1
 0168    92  14.440   0.440   0.190    1
 0168   518  14.380   0.490   0.180    4
 0169    92  13.970   0.615   0.020    1
 0169   518  13.820   0.680   0.180    3
 0170    92  14.710   1.020   0.600    1
 0171    92  13.570   0.650   0.150    1
 0172    92  13.790   0.700   0.210    1
 0173    92  14.950   1.055   0.900    1
 0173   518  14.880   1.070   0.790    5
 0174    92  14.360   0.960   0.440    2
 0175    92  14.480   0.630   0.100    2
 0176    92  12.390   0.595  -0.010    1
 0177    92  12.950   0.675   0.010    1
 0179    92  13.100   1.035   0.920    2
 0180    92  15.350   0.865   0.610    1
 0181    92  14.040   0.885   0.370    2
 0182    92  15.400   0.815   0.200    1
 0184    92  12.250   0.535   0.010    2
 0186    92  13.430   0.730   0.145    2
 0187    92  12.510   0.615   0.015    1
 0188    92  14.330   0.935   0.435    1
