# VI-Cousins CCD observations
#  No    Ref    V       V-I
 0323   299  15.069   1.226
 0324   249  15.120   1.480
 0324   298  15.123   1.481
 0324   299  15.114   1.479
 0325   298  14.945   1.204
 0325   299  15.035   1.240
 0327   298  16.031   1.451
 0327   299  16.066   0.899
 0328   298  16.359   1.600
 0328   299  16.332   1.566
 0335   298  15.707   1.598
 0335   299  15.622   1.568
 0344   298  16.165   1.649
 0344   299  16.103   1.599
 0349   249  15.760   1.710
 0349   298  15.761   1.706
 0349   299  15.741   1.690
 0352   213  15.551   1.328
 0352   298  15.635   1.365
 0352   299  15.632   1.358
 0354   298  14.680   1.294
 0354   299  14.728   1.305
 0355   298  14.516   1.118
 0355   299  14.640   1.151
 0357   249  16.180   1.830
 0357   298  16.176   1.825
 0357   299  16.215   1.816
 0359   298  14.611   1.141
 0359   299  14.586   1.127
 0364   298  14.661   0.679
 0364   299  14.693   0.721
 0367   249  14.780   1.130
 0367   298  14.781   1.127
 0367   299  14.816   1.155
 0368   213  16.871   2.130
 0368   298  16.856   2.088
 0368   299  16.899   2.080
 0368   498  16.810   2.060
 0372   298  14.867   1.171
 0372   299  14.975   1.200
 0373   298  14.760   1.140
 0373   299  14.894   1.165
 0386   298  14.557   1.157
 0386   299  14.627   1.181
 0465   249  19.960   0.800
 0465   298  19.967   0.796
 0466   249  18.570   1.060
 0466   298  18.569   1.059
 0467   249  19.720   1.430
 0467   298  19.746   1.431
 0468   249  17.640   2.840
 0468   298  17.638   2.840
 0469   249  19.670   1.410
 0469   298  19.687   1.406
 0470   249  20.550   1.940
 0471   249  19.890   0.940
 0472   249  19.640   1.980
 0472   298  19.669   1.982
 0473   249  19.230   1.220
 0473   298  19.226   1.220
 0474   249  17.890   1.230
 0474   298  17.888   1.232
 0475   249  18.180   0.790
 0476   249  17.980   0.980
 0477   249  18.840   2.130
 0477   298  18.839   2.125
 0478   249  17.270   1.030
 0478   298  17.270   1.028
 0479   249  18.150   1.120
 0479   298  18.146   1.124
 0480   249  18.250   0.780
 0501   213  18.177   2.097
 0501   298  18.078   1.969
 0502   213  18.896   2.610
 0502   298  18.790   2.442
 0503   213  17.619   2.548
 0503   298  17.643   2.512
 0504   213  19.943   2.885
 0505   213  21.859   3.443
 0507   213  17.092   2.045
 0507   298  17.183   2.077
 0508   213  21.980   3.550
 0510   213  20.736   3.155
 0510   498  20.760   3.230
 0512   213  13.726   0.887
 0513   213  19.014   2.412
 0513   298  19.162   2.616
 0514   213  19.562   2.659
 0514   298  19.449   2.510
 0517   213  21.559   3.430
 0519   213  17.956   2.186
 0519   298  18.029   2.208
 0520   213  15.176   1.326
 0520   298  15.174   1.365
 0522   213  20.853   2.935
 0523   213  17.980   2.335
 0523   298  18.022   2.331
 0524   213  20.562   3.067
 0524   298  20.716   3.231
 0526   213  20.766   2.993
 0526   298  20.776   2.911
 0527   213  19.362   2.676
 0527   298  19.302   2.612
 0528   213  14.770   1.109
 0528   298  14.802   1.124
 0528   299  14.858   1.143
 0531   213  21.015   3.337
 0532   213  18.468   2.646
 0532   298  18.448   2.587
 0533   213  18.444   2.490
 0533   298  18.380   2.357
 0534   213  21.788   3.500
 0535   213  19.939   2.946
 0535   298  19.685   2.711
 0537   213  21.117   3.107
 0538   213  17.224   1.935
 0538   298  17.123   1.884
 0538   498  17.460   2.110
 0539   213  19.318   2.693
 0539   298  19.302   2.629
 0540   213  14.453   1.029
 0540   298  14.475   1.030
 0540   299  14.508   1.051
 0541   213  19.999   2.829
 0541   298  19.950   2.766
 0542   213  20.742   3.011
 0542   298  20.382   2.654
 0543   213  18.457   2.696
 0543   298  18.389   2.624
 0544   213  16.644   1.758
 0544   298  16.711   1.771
 0544   299  16.685   1.728
 0544   498  16.550   1.620
 0545   213  19.014   2.823
 0545   298  18.989   2.742
 0547   213  15.529   1.371
 0547   298  15.601   1.430
 0547   299  15.626   1.436
 0549   213  20.354   2.867
 0549   298  20.318   2.784
 0550   213  17.182   1.943
 0550   298  17.220   1.921
 0550   498  17.350   2.060
 0553   213  14.335   1.046
 0553   298  14.350   1.059
 0553   299  14.369   1.048
 0554   213  14.661   1.161
 0554   298  14.714   1.186
 0554   299  14.720   1.180
 0555   213  19.774   2.915
 0555   298  19.640   2.740
 0556   213  17.727   2.168
 0556   298  17.807   2.196
 0557   213  21.058   3.157
 0558   213  14.991   1.257
 0558   298  15.029   1.271
 0558   299  15.040   1.285
 0559   213  18.352   2.383
 0559   298  18.306   2.305
 0560   213  18.906   2.658
 0560   298  18.855   2.578
 0561   213  16.214   1.580
 0561   298  16.209   1.552
 0561   299  16.269   1.573
 0562   213  17.634   2.077
 0562   298  17.665   2.047
 0562   498  17.890   2.270
 0563   213  15.093   1.174
 0563   298  15.112   1.166
 0563   299  15.124   1.176
 0565   213  19.711   2.878
 0565   298  19.677   2.807
 0566   213  21.684   3.351
 0567   213  15.068   1.179
 0567   298  14.995   1.177
 0568   213  19.196   2.694
 0568   298  19.092   2.577
 0569   213  18.259   2.386
 0569   298  18.240   2.338
 0570   213  21.461   3.207
 0570   498  21.510   3.290
 0571   213  20.585   3.107
 0573   213  19.113   2.628
 0573   298  19.243   2.562
 0573   498  19.240   2.730
 0575   213  20.060   2.896
 0575   498  20.310   3.100
 0577   213  15.529   1.234
 0577   298  15.717   1.324
 0577   299  15.625   1.299
 0578   213  21.713   3.320
 0579   213  18.012   2.184
 0579   298  18.162   2.217
 0580   213  20.690   3.131
 0582   213  16.711   1.748
 0582   298  16.758   1.757
 0582   299  16.744   1.740
 0583   213  20.778   3.055
 0583   298  20.605   2.689
 0583   498  21.040   3.250
 0584   213  17.864   2.225
 0584   298  17.898   2.220
 0584   498  18.050   2.320
 0585   213  16.521   2.246
 0585   298  16.537   2.202
 0585   299  16.542   2.210
 0586   213  20.885   3.465
 0586   298  20.446   2.979
 0587   213  19.667   2.825
 0587   298  19.423   2.651
 0587   498  19.670   2.810
 0588   213  21.410   3.221
 0589   213  20.364   2.887
 0589   298  20.318   2.736
 0590   213  14.905   1.121
 0590   298  14.932   1.147
 0590   299  14.954   1.162
 0591   213  20.729   3.059
 0592   213  19.513   2.785
 0592   298  19.275   2.556
 0593   213  15.264   1.249
 0593   298  15.306   1.274
 0593   299  15.319   1.275
 0594   213  14.747   1.102
 0594   298  14.762   1.143
 0595   213  18.111   2.638
 0595   298  18.136   2.603
 0596   213  18.480   2.615
 0596   298  18.445   2.606
 0597   213  20.272   3.135
 0597   298  20.279   3.135
 0598   213  19.125   2.801
 0598   298  19.204   2.815
 0598   498  19.310   2.940
 0599   213  19.318   2.590
 0599   298  19.222   2.488
 0600   213  19.087   2.416
