# VI-Cousins CCD observations
#  No    Ref    V       V-I
 2426   299  16.876   1.102
 2427   298  16.850   0.952
 2427   299  16.897   0.971
 2428   298  16.069   0.946
 2428   299  16.096   0.946
 2429   298  16.893   0.792
 2429   299  16.931   0.807
 2430   298  14.847   1.337
 2430   299  14.856   1.345
 2431   298  16.733   0.938
 2431   299  16.800   0.986
 2432   298  16.289   1.013
 2432   299  16.415   0.955
 2433   298  16.713   1.406
 2433   299  16.760   1.385
 2435   298  14.130   0.786
 2435   299  14.154   0.830
 2436   298  16.470   0.873
 2436   299  16.517   0.922
 2437   298  16.898   1.924
 2437   299  16.939   1.933
 2442   298  16.942   0.913
 2442   299  16.973   0.925
 2443   298  15.955   1.474
 2443   299  16.018   1.473
 2444   298  16.212   1.112
 2444   299  16.262   1.124
 2445   298  15.280   1.234
 2445   299  15.314   1.285
 2446   298  15.712   1.253
 2446   299  15.730   1.280
 2448   298  16.893   0.989
 2448   299  16.931   1.005
 2451   298  16.707   1.201
 2451   299  16.821   1.245
 2454   298  16.688   0.934
 2454   299  16.728   0.974
 2455   298  15.597   0.770
 2455   299  15.739   0.795
 2456   298  16.338   0.946
 2456   299  16.356   0.959
 2457   298  16.936   1.271
 2457   299  16.937   1.270
 2458   298  16.973   1.398
 2458   299  16.999   1.374
 2459   298  16.732   0.953
 2459   299  16.824   0.953
 2460   298  16.251   1.190
 2460   299  16.277   1.227
 2461   298  15.354   0.884
 2461   299  15.399   0.896
 2462   298  16.858   0.976
 2462   299  16.877   0.983
 2465   298  16.726   1.115
 2465   299  16.751   1.119
 2466   298  13.952   0.882
 2466   299  13.940   0.767
 2467   298  15.023   1.022
 2467   299  15.035   1.042
 2469   298  16.700   1.415
 2469   299  16.706   1.413
 2470   298  14.688   0.826
 2470   299  14.827   0.860
 2473   298  15.699   0.873
 2473   299  15.707   0.914
 2474   298  15.821   0.861
 2474   299  15.843   0.865
 2476   298  16.081   0.875
 2476   299  16.107   0.901
 2477   298  16.094   0.803
 2477   299  16.126   0.868
 2478   298  16.096   1.037
 2478   299  16.121   1.059
 2483   298  16.799   0.459
 2483   299  16.846   0.510
 2484   298  14.723   1.103
 2484   299  14.724   1.110
 2486   298  16.401   0.853
 2486   299  16.558   0.883
 2488   298  15.022   0.887
 2488   299  15.030   0.902
 2489   298  16.713   1.525
 2489   299  16.766   1.560
 2490   298  14.371   0.992
 2490   299  14.396   1.006
 2491   298  15.848   1.282
 2491   299  16.093   1.291
 2492   298  16.417   1.633
 2492   299  16.462   1.619
 2493   298  15.545   0.823
 2493   299  15.552   0.850
 2494   298  15.742   1.010
 2494   299  15.764   1.020
 2495   298  16.942   1.127
 2495   299  16.993   1.140
 2496   298  15.854   0.824
 2496   299  15.890   0.865
 2497   298  16.533   0.870
 2497   299  16.569   0.886
 2498   298  15.252   1.013
 2498   299  15.275   1.043
 2500   298  14.993   1.136
 2500   299  15.260   1.086
 2501   298  16.081   0.871
 2501   299  16.107   0.876
 2503   298  16.469   3.100
 2503   299  16.589   2.370
 2505   298  16.941   0.797
 2505   299  16.978   0.829
 2506   299  16.688   0.794
 2508   299  16.246   1.576
 2510   298  16.654   0.882
 2510   299  16.685   0.924
 2511   299  15.828   0.855
 2515   298  16.385   1.124
 2515   299  16.395   1.126
 2516   298  16.400   1.219
 2516   299  16.455   1.183
 2517   298  14.571   0.791
 2517   299  14.587   0.800
 2518   298  15.754   0.871
 2518   299  15.762   0.871
 2519   298  16.750   1.082
 2519   299  16.794   1.095
 2521   298  14.524   1.026
 2521   299  14.543   1.054
 2522   298  14.865   0.951
 2522   299  14.862   0.958
 2523   298  15.915   0.962
 2523   299  15.927   0.967
 2525   298  15.317   0.885
 2525   299  15.342   0.899
 2526   298  16.636   1.038
 2526   299  16.656   1.029
 2529   298  16.904   1.822
 2529   299  16.920   1.822
 2530   298  16.799   0.937
 2530   299  16.888   0.916
 2531   298  14.362   1.023
 2531   299  14.353   1.031
 2532   298  16.694   0.902
 2532   299  16.723   0.941
 2534   298  16.097   0.896
 2534   299  16.131   0.944
 2535   298  15.417   0.863
 2535   299  15.440   0.871
 2537   298  16.531   0.851
 2537   299  16.551   0.867
 2538   299  12.991   0.840
 2540   299  15.551   0.875
 2541   298  16.838   0.892
 2541   299  16.858   0.910
 2543   298  14.348   1.056
 2543   299  14.759   1.140
 2544   298  16.644   0.952
 2544   299  16.678   0.939
 2545   298  16.834   1.166
 2545   299  16.869   1.168
 2547   298  15.498   1.207
 2547   299  15.663   1.235
 2550   298  15.640   0.983
 2550   299  15.629   0.980
 2554   298  15.784   0.787
 2554   299  15.790   0.827
 2556   298  16.941   1.035
 2556   299  16.987   1.034
 2558   298  16.209   0.893
 2558   299  16.469   0.903
 2563   298  14.728   0.829
 2563   299  14.768   0.857
 2568   298  16.819   0.804
 2568   299  16.853   0.835
 2569   298  15.153   1.420
 2569   299  15.219   1.425
 2572   298  16.296   1.260
 2572   299  16.131   1.163
 2574   298  15.874   0.825
 2574   299  16.039   0.910
 2576   298  15.945   0.856
 2576   299  15.970   0.891
 2577   298  16.885   1.306
 2577   299  16.927   1.329
 2579   298  14.832   1.269
 2579   299  14.856   1.277
 2580   298  15.961   0.786
 2580   299  15.966   0.806
 2582   298  15.928   0.784
 2582   299  15.957   0.803
 2584   298  16.585   1.016
 2584   299  16.708   1.056
 2585   298  15.626   0.828
 2585   299  15.881   0.859
 2586   298  14.605   1.086
 2586   299  14.587   1.060
 2587   298  16.665   0.928
 2587   299  16.684   0.929
 2588   298  16.683   1.030
 2588   299  16.721   1.031
 2590   299  14.000   0.792
 2591   298  16.345   1.118
 2591   299  16.384   1.083
 2597   298  15.770   0.853
 2597   299  15.829   0.869
 2598   298  15.934   0.997
 2598   299  15.943   1.017
 2601   298  15.866   0.821
 2601   299  15.882   0.856
 2603   298  14.973   0.778
 2603   299  14.994   0.792
 2606   298  16.719   1.190
 2606   299  16.703   1.189
 2609   298  15.359   1.265
 2609   299  15.424   1.284
 2610   298  16.950   0.887
 2610   299  16.942   0.893
 2611   298  16.301   0.908
 2611   299  16.326   0.924
 2612   298  15.373   0.833
 2612   299  15.429   0.845
 2613   298  14.449   0.775
 2613   299  14.459   0.793
 2614   298  14.035   1.124
 2614   299  14.064   1.145
 2617   298  15.798   0.856
 2617   299  15.829   0.878
 2618   249  14.410   1.840
 2618   298  14.410   1.840
 2618   299  14.426   1.837
 2620   298  15.028   0.840
 2620   299  15.244   0.856
 2622   298  15.124   1.011
 2622   299  15.113   1.013
 2623   299  14.111   1.089
 2624   298  16.071   0.988
 2624   299  16.082   1.007
 2625   298  14.589   0.834
 2625   299  14.608   0.860
 2626   298  16.819   1.000
 2626   299  16.847   1.023
 2627   298  13.474   0.674
 2627   299  13.541   0.884
 2628   298  16.460   0.894
 2628   299  16.803   0.934
 2629   298  16.116   1.606
 2629   299  16.125   1.511
 2630   298  14.990   0.503
 2630   299  15.083   0.562
 2631   298  14.294   0.613
 2631   299  14.696   0.638
 2633   298  14.951   1.136
 2633   299  14.988   1.182
 2634   298  15.616   0.875
 2634   299  15.645   0.893
 2635   298  13.527   1.138
 2635   299  13.762   1.158
 2637   298  16.494   0.922
 2637   299  16.521   0.949
 2638   298  15.200   0.876
 2638   299  15.224   0.916
 2639   299  14.452   0.880
 2640   298  16.049   0.866
 2640   299  16.068   0.887
 2641   298  14.239   0.891
 2641   299  14.238   0.900
 2642   298  15.111   0.783
 2642   299  15.132   0.811
 2645   299  16.477   1.060
 2647   298  15.419   0.921
 2647   299  15.528   0.944
 2648   298  16.621   0.874
 2648   299  16.647   0.856
 2650   298  16.068   0.913
 2650   299  16.079   0.908
 2651   298  15.164   1.217
 2651   299  15.162   1.211
 2653   298  15.711   0.878
 2653   299  15.739   0.883
 2654   298  14.970   0.815
 2654   299  15.080   0.851
 2655   298  16.592   0.866
 2655   299  16.640   0.922
 2656   298  16.255   0.950
 2656   299  16.297   0.930
 2659   298  15.939   1.768
 2659   299  16.246   1.188
 2660   298  16.939   1.002
 2660   299  16.974   1.051
 2661   298  16.146   0.896
 2661   299  16.209   0.918
 2663   298  16.345   1.461
 2663   299  16.441   1.130
 2664   298  16.158   0.744
 2664   299  16.223   0.754
 2665   298  15.718   0.812
 2665   299  15.719   0.826
 2668   298  16.271   1.395
 2668   299  16.589   0.852
 2669   298  15.549   0.887
 2669   299  15.606   0.925
 2672   298  16.289   0.893
 2672   299  16.308   0.917
 2673   298  16.787   0.884
 2673   299  16.803   0.859
 2675   298  14.487   1.061
 2675   299  14.686   1.139
 2676   298  16.487   1.849
 2676   299  16.533   1.866
 2677   298  14.007   1.146
 2677   299  13.951   1.156
 2678   298  15.213   0.905
 2678   299  15.262   0.913
 2679   298  16.919   0.894
 2679   299  16.936   0.891
 2683   299  16.905   1.191
 2684   298  16.807   0.923
 2684   299  16.838   0.954
 2685   298  16.932   1.149
 2685   299  16.974   1.146
 2686   298  16.474   1.006
 2686   299  16.475   1.014
 2687   298  16.155   0.798
 2687   299  16.149   0.801
 2688   298  16.596   0.885
 2688   299  16.637   0.884
 2689   298  16.705   1.335
 2689   299  16.803   1.266
 2690   298  16.469   1.118
 2690   299  16.502   1.128
 2691   298  16.528   1.045
 2691   299  16.331   1.055
 2693   298  15.215   1.279
 2693   299  15.259   1.293
 2695   298  15.122   0.854
 2695   299  15.139   0.878
 2697   298  15.896   1.472
 2697   299  15.858   1.406
 2698   298  15.727   1.156
 2698   299  15.753   1.162
 2699   298  16.182   0.857
 2699   299  16.198   0.883
 2701   298  15.024   1.052
 2701   299  15.083   1.076
 2703   298  16.391   1.110
 2703   299  16.441   1.118
 2705   298  15.833   0.775
 2705   299  16.218   0.791
 2706   298  15.246   1.234
 2706   299  15.286   1.249
 2707   298  14.624   0.912
 2707   299  14.775   0.935
 2708   298  14.245   0.716
 2708   299  14.283   0.731
 2710   298  16.981   0.972
 2710   299  16.982   0.965
 2712   298  15.479   1.299
 2712   299  15.477   1.277
 2713   298  14.254   1.522
 2713   299  14.275   1.528
 2715   299  14.892   0.728
 2718   298  15.164   1.103
 2718   299  15.201   1.087
 2719   298  15.910   0.839
 2719   299  16.089   0.813
 2722   298  16.035   0.798
 2722   299  16.129   0.868
 2723   298  16.981   1.373
 2723   299  16.991   1.398
 2725   299  16.176   1.092
 2726   298  15.994   1.061
 2726   299  16.015   1.069
 2728   298  14.804   1.105
 2728   299  14.835   1.141
 2730   298  16.632   0.847
 2730   299  16.681   0.876
 2732   298  15.965   0.296
 2732   299  16.012   0.316
 2734   298  16.715   0.958
 2734   299  16.737   0.949
 2736   298  16.251   1.147
 2736   299  16.291   1.185
 2737   298  15.878   0.872
 2737   299  15.916   0.890
 2738   298  16.781   0.841
 2738   299  16.798   0.895
 2739   249  14.960   0.810
 2739   298  14.956   0.812
 2739   299  14.982   0.851
 2741   298  16.259   0.993
 2741   299  16.296   1.015
 2742   298  15.503   0.816
 2742   299  15.528   0.854
 2743   298  14.811   1.121
 2743   299  14.903   1.122
 2744   298  16.318   1.005
 2744   299  16.370   1.031
 2745   299  16.588   1.066
 2746   298  15.564   0.745
 2746   299  15.967   0.780
 2747   298  16.886   1.001
 2747   299  16.983   1.037
 2748   298  15.779   1.475
 2748   299  15.859   1.444
 2749   298  15.590   0.988
 2749   299  15.617   0.908
 2750   298  16.283   0.854
 2750   299  16.764   0.864
 2751   298  16.155   0.961
 2751   299  16.181   0.975
 2754   298  15.268   1.076
 2754   299  15.616   1.116
 2755   298  16.494   1.082
 2755   299  16.531   1.096
 2756   298  16.559   1.276
 2756   299  16.565   1.282
 2759   298  16.665   1.591
 2759   299  16.786   1.591
 2760   298  15.754   1.017
 2760   299  15.784   1.020
 2761   298  15.475   0.799
 2761   299  15.245   0.792
 2762   298  16.666   1.015
 2762   299  16.716   1.048
 2766   298  16.841   1.027
 2766   299  16.914   1.062
 2769   298  13.974   1.099
 2769   299  14.021   1.120
 2771   298  15.765   0.868
 2771   299  15.850   0.882
 2774   299  16.652   0.904
 2776   298  16.838   1.150
 2776   299  16.882   1.158
 2777   299  15.417   0.852
 2780   298  16.717   0.885
 2780   299  16.736   0.906
 2781   298  16.793   0.859
 2781   299  16.920   0.903
 2784   298  16.588   1.096
 2784   299  16.642   1.112
 2785   298  16.368   1.169
 2785   299  16.398   1.179
 2789   298  16.726   0.774
 2789   299  16.779   0.823
 2790   298  16.772   1.162
 2790   299  16.848   1.183
 2791   298  15.950   1.184
 2791   299  16.122   1.224
 2793   298  15.710   0.952
 2793   299  15.819   0.952
 2796   298  15.862   0.866
 2796   299  15.899   0.901
 2797   298  15.927   0.922
 2797   299  16.059   0.958
 2798   298  16.601   0.854
 2798   299  16.652   0.902
 2799   298  15.893   0.895
 2799   299  15.984   0.934
 2800   298  16.671   0.890
 2800   299  16.749   0.912
 2802   298  16.120   1.037
 2802   299  16.207   1.044
 2805   298  16.339   0.888
 2805   299  16.372   0.938
 2806   298  15.614   2.442
 2806   299  15.620   2.449
 2808   298  14.125   1.120
 2808   299  14.183   1.120
 2809   298  16.323   0.959
 2809   299  16.424   0.992
 2810   298  16.329   0.933
 2810   299  16.418   0.936
 2811   299  12.586   0.655
 2813   298  16.672   0.883
 2813   299  16.647   0.932
 2816   298  15.217   1.242
 2816   299  15.188   1.206
 2817   298  16.754   0.890
 2817   299  16.753   0.923
 2818   298  15.281   1.255
 2818   299  15.355   1.267
 2819   298  14.649   0.965
 2819   299  14.733   0.986
 2820   298  16.528   0.919
 2820   299  16.656   0.928
 2822   298  15.405   0.849
 2822   299  15.481   0.885
 2824   298  14.647   1.057
 2824   299  15.038   1.176
 2826   298  15.781   1.038
 2826   299  15.797   1.040
 2831   298  16.869   1.084
 2831   299  16.933   1.045
 2832   298  15.769   1.163
 2832   299  15.866   0.916
 2833   298  16.547   0.967
 2833   299  16.618   1.004
 2834   298  16.885   1.837
 2834   299  16.884   1.783
 2836   298  15.581   0.753
 2836   299  15.590   0.765
 2837   299  15.245   0.964
 2840   298  15.897   0.754
 2840   299  15.964   0.800
 2841   298  16.041   1.051
 2841   299  16.087   1.053
 2843   298  16.105   0.842
 2843   299  16.140   0.862
 2844   298  15.583   0.861
 2844   299  15.599   0.876
 2845   298  16.377   1.447
 2845   299  16.423   1.469
 2846   298  15.558   1.011
 2846   299  15.631   1.029
 2848   298  16.257   1.001
 2848   299  16.267   1.041
 2849   298  16.527   0.976
 2849   299  16.565   0.979
 2850   298  16.557   0.856
 2850   299  16.643   0.895
 2851   298  16.877   0.899
 2851   299  16.914   0.937
 2859   298  13.781   0.961
 2859   299  13.997   0.845
 2861   298  16.617   0.797
 2861   299  16.657   0.843
 2862   298  16.335   0.829
 2862   299  16.361   0.848
 2864   298  16.522   0.999
 2864   299  16.599   1.038
 2866   298  16.088   0.910
 2866   299  16.115   0.926
 2867   298  15.519   1.270
 2867   299  15.543   1.208
 2868   298  14.854   0.738
 2868   299  14.902   0.749
 2869   298  16.086   0.768
 2869   299  16.110   0.752
 2871   298  15.399   0.766
 2871   299  15.784   0.792
 2878   298  16.260   0.902
 2878   299  16.155   0.922
 2879   298  16.307   0.911
 2879   299  16.410   0.969
 2880   299  16.964   0.854
 2881   298  14.863   0.707
 2881   299  14.951   0.824
 2883   298  14.779   0.989
 2883   299  15.180   0.929
 2884   298  14.772   0.829
 2884   299  14.852   0.870
 2885   298  16.453   0.870
 2885   299  16.538   0.906
 2889   298  15.781   1.197
 2889   299  15.814   1.193
 2890   298  14.684   0.894
 2890   299  14.971   0.850
 2892   298  15.956   1.208
 2892   299  16.014   1.218
 2894   298  16.853   3.196
 2894   299  16.990   1.783
 2895   298  16.466   1.654
 2895   299  16.737   0.879
 2896   298  15.234   1.136
 2896   299  15.321   1.163
 2898   298  16.358   0.822
 2898   299  16.387   0.820
 2899   298  16.601   0.700
 2899   299  16.646   0.743
 2901   298  15.874   0.985
 2901   299  15.993   0.931
 2903   298  16.645   1.109
 2903   299  16.682   1.124
 2904   298  16.868   0.928
 2904   299  16.919   0.946
 2905   298  16.248   0.816
 2905   299  16.332   0.836
 2906   298  16.678   1.114
 2906   299  16.718   1.136
 2907   298  16.711   0.890
 2907   299  16.785   0.920
 2908   298  15.246   0.853
 2908   299  15.349   0.899
 2909   298  15.864   0.953
 2909   299  15.895   0.971
 2910   298  15.324   0.754
 2910   299  15.356   0.758
 2911   298  16.041   1.134
 2911   299  16.064   1.135
 2913   298  15.996   0.823
 2913   299  16.030   0.861
 2915   298  16.892   1.037
 2915   299  16.934   1.027
 2917   298  15.708   0.721
 2917   299  15.772   0.755
 2919   298  16.832   1.255
 2919   299  16.891   1.257
 2920   298  15.507   0.772
 2920   299  15.555   0.787
 2921   298  16.572   1.164
 2921   299  16.609   1.211
 2923   298  16.644   0.891
 2923   299  16.733   0.935
 2924   298  15.125   0.921
 2924   299  15.204   0.943
 2925   298  16.188   0.807
 2925   299  16.268   0.837
 2927   298  16.482   1.653
 2927   299  16.539   1.649
 2928   298  14.850   1.221
 2928   299  15.000   1.247
 2929   298  16.257   1.024
 2929   299  16.280   1.068
 2930   298  15.476   0.816
 2930   299  15.506   0.845
 2933   298  16.533   0.945
 2933   299  16.610   0.979
 2934   298  14.900   0.782
 2934   299  14.988   0.817
 2935   298  16.436   0.945
 2935   299  16.547   0.975
 2937   298  16.313   0.960
 2937   299  16.552   0.971
 2938   298  14.680   0.832
 2938   299  14.749   0.851
 2939   298  15.790   1.019
 2939   299  15.874   1.072
 2940   298  14.161   1.317
 2940   299  14.217   1.339
 2941   298  16.896   0.840
 2941   299  16.995   0.911
 2942   298  16.548   1.072
 2942   299  16.611   1.081
 2943   298  16.559   0.922
 2943   299  16.593   0.953
 2944   298  15.286   0.775
 2944   299  15.351   0.837
 2945   298  15.692   0.950
 2945   299  15.708   0.912
 2948   298  15.481   1.311
 2948   299  15.484   1.296
 2950   298  15.955   0.893
 2950   299  15.957   0.912
 2951   298  16.688   0.804
 2951   299  16.694   0.846
 2952   298  16.750   0.829
 2952   299  16.825   0.897
 2954   298  16.498   1.001
 2954   299  16.507   1.011
 2955   298  16.563   1.593
 2955   299  16.605   1.592
 2956   298  15.898   0.729
 2956   299  15.926   0.803
 2957   298  16.882   0.749
 2957   299  16.894   0.777
 2958   298  16.914   0.993
 2958   299  16.941   1.022
 2960   298  15.651   0.871
 2960   299  15.678   0.899
 2961   298  15.874   1.467
 2961   299  15.969   1.456
 2962   298  16.280   1.410
 2962   299  16.514   1.446
 2963   298  15.455   1.023
 2963   299  15.490   1.063
 2964   298  16.476   0.916
 2964   299  16.485   0.934
 2965   298  16.126   1.052
 2965   299  16.241   1.042
 2967   298  14.283   0.938
 2967   299  14.297   0.970
 2969   298  15.003   0.881
 2969   299  15.091   0.889
 2970   298  16.470   0.747
 2970   299  16.509   0.829
 2971   298  16.770   0.883
 2971   299  16.871   0.889
 2972   298  15.809   1.008
 2972   299  15.816   1.042
 2974   298  16.309   0.871
 2974   299  16.394   0.891
 2975   298  16.085   1.001
 2975   299  16.104   1.021
 2976   298  15.873   1.114
 2976   299  15.905   1.118
 2978   298  16.422   1.300
 2978   299  16.526   1.301
 2979   298  15.921   1.037
 2979   299  16.151   1.117
 2983   298  15.907   0.951
 2983   299  15.924   0.998
 2984   299  16.424   1.082
 2985   298  16.227   0.680
 2985   299  16.264   0.734
 2986   298  15.487   1.145
 2986   299  15.504   1.162
 2987   298  13.606   0.886
 2987   299  13.636   0.896
 2989   298  16.807   0.879
 2989   299  16.887   0.957
 2990   298  14.426   0.850
 2990   299  14.450   0.889
 2991   298  16.573   0.924
 2991   299  16.669   0.949
 2992   298  15.850   1.074
 2992   299  15.874   1.115
 2994   298  16.805   1.780
 2994   299  16.894   1.758
 2995   298  16.266   1.850
 2995   299  16.499   1.862
 2997   298  14.166   1.196
 2997   299  14.234   1.214
 3002   298  16.397   0.640
 3002   299  16.490   0.670
 3003   298  15.959   1.173
 3003   299  16.010   1.174
 3007   298  15.740   0.883
 3007   299  15.812   0.904
 3008   298  15.232   1.047
 3008   299  15.383   1.085
 3009   298  16.786   0.903
 3009   299  16.876   0.983
 3011   298  16.351   1.244
 3011   299  16.469   1.010
 3012   298  14.947   0.777
 3012   299  15.015   0.796
 3013   298  14.556   0.851
 3013   299  14.558   0.873
 3014   298  16.874   0.870
 3014   299  16.868   0.895
 3019   298  16.800   1.292
 3019   299  16.827   1.312
 3020   298  16.028   0.943
 3020   299  16.116   0.974
 3021   298  15.944   1.198
 3021   299  15.951   1.196
 3022   298  15.452   0.671
 3022   299  15.377   0.772
 3026   299  15.859   0.735
 3027   298  16.004   0.923
 3027   299  16.088   0.948
 3028   298  14.617   0.688
 3028   299  15.020   0.750
 3029   298  15.711   1.055
 3029   299  15.699   1.050
 3031   298  15.370   0.676
 3031   299  15.820   0.724
 3033   298  16.667   1.260
 3033   299  16.669   1.260
 3037   298  15.935   0.780
 3037   299  15.972   0.801
 3038   298  14.366   0.646
 3038   299  14.412   0.659
 3043   298  16.644   0.867
 3043   299  16.672   0.904
 3044   298  16.251   1.127
 3044   299  16.317   1.168
 3045   298  15.766   1.003
 3045   299  15.826   0.975
 3048   298  16.446   0.873
 3048   299  16.405   0.908
 3049   298  16.925   1.196
 3049   299  16.920   1.155
 3050   298  16.209   0.861
 3050   299  16.290   0.885
 3052   298  15.724   1.376
 3052   299  15.730   1.360
 3053   298  16.881   0.900
 3053   299  16.949   0.923
 3054   298  14.282   1.007
 3054   299  14.311   1.013
 3056   298  14.976   0.884
 3056   299  15.052   0.906
 3057   298  15.632   1.384
 3057   299  15.844   1.401
 3058   298  16.662   0.804
 3058   299  16.786   0.839
 3060   298  16.193   3.504
 3061   298  14.552   1.078
 3061   299  14.595   1.065
 3062   298  15.161   0.988
 3062   299  15.227   0.986
 3063   298  16.812   0.973
 3063   299  16.893   1.004
 3064   298  16.239   0.927
 3064   299  16.315   0.950
 3065   298  15.051   0.817
 3065   299  15.113   0.845
 3066   298  15.097   0.894
 3066   299  15.165   0.925
 3070   298  16.346   3.565
 3071   298  15.370   1.667
 3072   298  16.215   0.767
 3072   299  16.306   0.819
 3073   298  15.091   1.190
 3073   299  15.162   1.205
 3074   298  16.231   1.549
 3074   299  16.318   1.584
 3075   298  14.248   0.767
 3075   299  14.288   0.776
 3076   298  15.397   0.720
 3076   299  15.456   0.760
 3077   298  14.162   1.385
 3077   299  14.228   1.400
 3078   298  15.044   1.322
 3078   299  15.174   0.777
 3079   298  14.890   0.818
 3079   299  14.941   0.825
 3081   298  15.820   0.815
 3081   299  15.881   0.791
 3082   298  16.003   0.922
 3082   299  16.067   0.935
 3083   298  16.331   0.899
 3083   299  16.398   0.914
 3084   298  16.924   0.896
 3084   299  16.999   0.930
 3085   298  16.741   0.840
 3085   299  16.807   0.885
 3086   298  16.238   1.129
 3086   299  16.376   1.115
 3087   298  15.384   1.174
 3087   299  15.462   1.205
 3090   298  16.841   1.094
 3090   299  16.983   1.199
 3091   298  16.317   0.894
 3091   299  16.464   0.892
 3092   298  14.305   1.297
 3092   299  14.338   1.280
 3093   298  15.414   0.846
 3093   299  15.480   0.855
 3095   298  14.593   1.047
 3095   299  14.652   1.062
 3097   298  15.934   1.061
 3097   299  15.944   1.092
 3098   249  15.770   0.810
 3098   298  15.774   0.812
 3098   299  15.869   0.864
 3100   299  16.186   0.902
 3101   298  15.582   1.723
 3101   299  15.632   1.733
 3102   298  14.503   1.071
 3102   299  14.586   1.111
 3103   298  15.378   0.946
 3103   299  15.442   0.960
 3104   298  15.998   0.864
 3104   299  16.075   0.860
 3105   298  16.885   0.790
 3105   299  16.966   0.815
 3107   298  15.084   1.001
 3107   299  15.161   1.019
 3108   299  13.406   0.860
 3110   298  15.990   0.845
 3110   299  16.093   0.887
 3111   298  15.973   0.929
 3111   299  16.041   0.953
 3112   298  16.070   0.980
 3112   299  16.176   1.015
 3113   298  16.568   1.045
 3113   299  16.650   1.078
 3114   298  15.591   1.141
 3114   299  15.684   0.941
 3115   298  16.313   1.192
 3115   299  16.404   1.170
 3116   298  15.308   1.206
 3116   299  15.388   1.215
 3118   298  15.988   1.092
 3118   299  16.077   1.076
 3119   298  16.894   1.113
 3119   299  16.962   1.121
 3121   298  15.732   0.921
 3121   299  15.875   0.958
 3122   298  15.858   1.027
 3122   299  15.959   1.038
 3125   298  16.882   0.819
 3125   299  16.997   0.865
 3128   298  15.902   0.884
 3128   299  16.005   0.920
 3129   298  16.269   1.565
 3129   299  16.306   1.545
 3130   298  14.687   0.854
 3130   299  14.762   0.869
 3131   298  16.305   0.917
 3131   299  16.383   0.915
 3132   298  16.230   1.132
 3132   299  16.293   1.129
 3134   298  16.888   0.860
 3134   299  16.979   0.894
 3136   298  16.118   1.106
 3136   299  16.157   1.077
 3137   298  14.840   1.312
 3137   299  15.057   1.195
 3138   298  16.372   1.026
 3138   299  16.451   1.041
 3139   298  16.637   1.456
 3139   299  16.695   1.452
 3140   298  15.694   1.209
 3140   299  15.772   1.212
 3141   298  14.385   1.176
 3141   299  14.461   1.185
 3142   298  14.497   1.057
 3142   299  14.561   1.075
 3143   298  15.343   1.185
 3143   299  15.418   1.167
 3144   299  13.209   0.833
 3146   298  16.251   1.203
 3146   299  16.333   1.206
 3147   298  16.862   1.808
 3147   299  16.983   1.811
 3148   298  15.924   0.864
 3148   299  16.028   0.903
 3149   298  16.256   0.933
 3149   299  16.352   0.957
 3151   298  16.320   0.852
 3151   299  16.402   0.871
 3152   298  16.818   0.844
 3152   299  16.909   0.834
 3153   298  16.118   1.184
 3153   299  16.194   1.198
 3154   298  15.219   0.897
 3154   299  15.305   0.922
 3155   298  16.967   1.860
 3155   299  16.963   1.802
 3155   498  17.030   1.950
 3157   298  15.489   1.295
 3157   299  15.548   1.279
 3159   298  15.227   0.786
 3159   299  15.310   0.813
 3160   298  15.848   1.462
 3160   299  15.922   1.444
 3162   298  15.065   0.771
 3162   299  15.128   0.765
 3164   298  15.920   0.853
 3164   299  16.046   0.882
 3165   298  16.898   0.990
 3165   299  16.993   1.010
 3166   298  16.019   0.739
 3166   299  16.119   0.762
 3167   298  16.190   1.584
 3167   299  16.295   1.591
 3168   298  16.096   0.916
 3168   299  16.185   0.941
 3171   298  16.261   0.897
 3171   299  16.343   0.905
 3172   298  15.298   0.969
 3172   299  15.385   0.975
 3173   298  16.177   1.547
 3173   299  16.277   1.587
 3174   298  16.841   0.811
 3174   299  16.973   0.846
 3175   298  16.755   1.082
 3175   299  16.819   1.063
 3176   298  15.193   1.236
 3176   299  15.205   1.209
 3177   298  16.618   0.923
 3177   299  16.724   0.959
 3178   298  16.727   0.944
 3178   299  16.830   0.944
 3180   298  14.567   0.756
 3180   299  14.667   0.804
 3182   298  14.312   0.967
 3182   299  14.425   0.957
 3184   298  15.091   0.795
 3184   299  15.211   0.812
 3185   298  15.303   0.974
 3185   299  15.401   1.002
 3186   298  16.332   0.985
 3186   299  16.437   0.992
 3187   298  15.906   1.110
 3187   299  16.013   1.099
 3190   298  14.333   1.246
 3190   299  14.465   1.248
 3191   298  16.361   0.986
 3191   299  16.467   1.004
 3192   298  16.216   0.933
 3192   299  16.317   0.944
 3193   298  16.810   1.836
 3193   299  16.839   1.767
 3194   298  16.188   0.885
 3194   299  16.304   0.882
 3195   298  16.036   0.903
 3195   299  16.136   0.938
 3196   298  16.221   0.914
 3196   299  16.344   0.917
 3198   298  16.510   0.908
 3198   299  16.619   0.928
 3200   298  15.904   1.054
 3200   299  15.983   1.030
 3201   298  16.818   0.881
 3201   299  16.941   0.921
 3203   298  14.444   1.302
 3203   299  14.526   1.266
 3204   298  16.575   0.965
 3204   299  16.659   0.938
 3205   298  15.586   1.153
 3205   299  15.674   0.905
 3206   298  16.865   2.350
 3206   299  16.954   1.076
 3207   298  16.025   0.943
 3207   299  16.120   0.945
 3208   298  16.873   0.716
